,"Note: You can directly modify the content of ""MSA"", but not ""English"" and ""Darija"". 
If the original ""Darija"" is indeed wrong, please provide the correction in the ""Darija_arabic correction"" column. 
For other remarks, please leave a comment in the ""Observations"" column.",,,,,,,,,,,,,,
6167,I've had a terrible day,rah dwzt nhar S3ib,راه دوزت نهار صعيب,لقد كان يومي فظيعًا,TRUE,EJJOUFARI Wadie,,,,,,,,,
6168,Hope the cat isn't around or I will kick it,kantmana matkonch lmcha tmma wla ghadi ndrabha,كانتمانا ماتكونش لمشا تمّا ولا غادي ندرابها,أتمنى ألا تكون القطة موجودة وإلا سأركلها,TRUE,EJJOUFARI Wadie,,,,,,,,,
6169,Horrible?,ra8ib?,راهيب?,فظيع؟,TRUE,EJJOUFARI Wadie,,,,,,,,,
6170,But that's no reason to take it out on our cat!,walakin hada machi sabab bach nsbboha f lmcha dyalna,والاكين هادا ماشي ساباب باش نسبّوها ف لمشا ديالنا,ولكن هذا ليس سببًا لتفريغ غضبك في قطتنا!,TRUE,EJJOUFARI Wadie,,,,,,,,,
6171,First the train was late so when it came it was full and there were no seats left,"awalan, t3atal tran, o mnin wsal kan 3amar o makanoch blays khawyin","أوالان, تعاتال تران, أُ منين وسال كان عامار أُ ماكانوش بلايس خاويين",أولاً، تأخر القطار فعندما وصل كان ممتلئًا ولم يكن هناك مقاعد شاغرة,TRUE,EJJOUFARI Wadie,,"أوالان, تعاطال تران, أُ منين وسال كان عامار أُ ماكانوش بلايس خاويين",FALSE,Yassine,,,,,
6172,Then when I apologised for being late I realised I had left my papers at home,"o mnin 3tadart 3la ta3tal dyali, tfakart khlit wra9i fdar","أُ منين عتادارت علا تاعتال ديالي, تفاكارت خليت وراقي فدار",ثم عندما اعتذرت عن التأخير أدركت أنني تركت أوراقي في المنزل,TRUE,EJJOUFARI Wadie,,"أُ منين عتادرت علا تاعتال ديالي, تفكارت خليت وراقي فدار",FALSE,Yassine,,,,,
6173,Keep the cat out of the way!,ba3d lmacha mn Tri9,باعد لماشا من طريق,ابقِ القطة بعيدة عن الطريق!,TRUE,EJJOUFARI Wadie,,,,,,,,,
6174,I see,kanchof,كانشوف,أرى,TRUE,EJJOUFARI Wadie,,,,,,,,,
6175,Then I realised I had got your glasses and not mine,mn ba3d 3raft bila khdit nDaDrk o machi nDaDri,من باعد عرافت بيلا خديت نضاضرك أُ ماشي نضاضري,ثم أدركت أنني أخذت نظارتك وليس نظارتي,TRUE,EJJOUFARI Wadie,,,,,,,,,
6176,Hope you weren't too annoyed by that,kantmana matkonch m9ala9 mn hadchi,كانتمانا ماتكونش مقالاق من هادشي,أتمنى ألا تكون قد انزعجت كثيرًا من ذلك,TRUE,EJJOUFARI Wadie,,,,,,,,,
6177,Have you been able to participate in the meeting anyway?,wach 9darti tchark b3da f ijtima3?,واش قدارتي تشارك بعدا ف إجتيماع?,هل استطعت المشاركة في الاجتماع على أي حال؟,TRUE,EJJOUFARI Wadie,,,,,,,,,
6178,"Oh, yeah, I saw about the glasses","oh, ah rah chaft nDaDr","أُه, أه راه شافت نضاضر",آه، نعم، رأيت المعلومات عن النظارات,TRUE,EJJOUFARI Wadie,,,,,,,,,
6179,but I didn't have to drive,walakin makanch 3liya nsog,والاكين ماكانش علييا نسوڭ,ولكن لم يكن عليّ أن أقود,TRUE,EJJOUFARI Wadie,,,,,,,,,
6180,so that didn't embarrass me too much,dakchi 3lach ma7rajnich dakchi bzaf,داكشي علاش ماحراجنيش داكشي بزاف,حتى لا تحرجني كثيرًا,TRUE,EJJOUFARI Wadie,,,,,,,,,
6181,Someone said I was better than usual but I think they were just poking fun at me,galiya chi 7ad bila knt 7san mn 9bal walakin kanDn kano kayda7ko 3liya,ڭالييا شي حاد بيلا كنت حسان من قبال والاكين كانضن كانو كايداحكو علييا,قال شخص ما أنني كنت أفضل من المعتاد ولكن أعتقد أنهم كانوا يسخرون مني,TRUE,EJJOUFARI Wadie,,ڭالييا شي حاد بيلا كنت حسن من قبال والاكين كانضن كانو كايضحكو علييا,FALSE,Yassine,,,,,
6182,You think they made fun of you?,wach kadan bila kano kayD7ko 3lik?,واش كادان بيلا كانو كايضحكو عليك?,أتظن أنهم سخروا منك؟,TRUE,EJJOUFARI Wadie,,واش كاضن بيلا كانو كايضحكو عليك?,FALSE,Yassine,,,,,
6183,It's not certain!,hadchi machi m2akad,هادشي ماشي مأكاد,ليس مؤكدًا!,TRUE,EJJOUFARI Wadie,,,,,,,,,
6184,"And, as you know very well, you had to be perfect!",o 7ta nta kat3raf bila khasak tkon mitali,أُ حتا نتا كاتعراف بيلا خاساك تكون ميتالي,وكما تعلم جيدًا، كان عليك أن تكون مثاليًا!,TRUE,EJJOUFARI Wadie,,,,,,,,,
6185,"No, maybe I'm just paranoid","la, imkn hir ana mr3oud","لا, إمكن هير أنا مرعود",لا، ربما أنا مجرد وسواس,TRUE,EJJOUFARI Wadie,,,,,,,,,
6186,But when we got in the lift my boss started to tell me this story,"walakin mnin rkabna lmas3ad, bda ra2is dyali kay3awad liya dik l9iSSa","والاكين منين ركابنا لماسعاد, بدا راإس ديالي كايعاواد لييا ديك لقيصّا",لكن عندما دخلنا المصعد بدأ رئيسي بسرد هذه القصة لي,TRUE,EJJOUFARI Wadie,,"والاكين منين ركابنا لمصعاد, بدا راإس ديالي كايعاواد لييا ديك لقيصّا",FALSE,Yassine,,,,,
6187,then the lift broke down between floors,mn ba3d khsar lmas3ad bin tawabi9,من باعد خسار لماسعاد بين تاوابيق,ثم تعطل المصعد بين الطوابق,TRUE,EJJOUFARI Wadie,,من باعد خسر لمصعاد بين تاوابيق,FALSE,Yassine,,,,,
6188,And then the lift broke down between floors,o mn b3d khsar sansour bin liTajat,أُ من بعد خسار سانسور بين ليطاجات,ثم تعطل المصعد بين الطوابق,TRUE,EJJOUFARI Wadie,,أُ من بعد خسار سانسور بين ليطاجات,FALSE,Yassine,,,,,
6189,I was stuck in the lift with my boss!,w7alt flmas3ad m3a ra2is dyali,وحالت فلماسعاد معا راإس ديالي,كنت عالقًا في المصعد مع مديري!,TRUE,EJJOUFARI Wadie,,وحالت فلمصعاد معا راإس ديالي,FALSE,Yassine,,,,,
6190,Now you're making fun of me,nta daba kadhak 3liya,نتا دابا كادهاك علييا,الآن أنت تسخر مني,TRUE,EJJOUFARI Wadie,,نتا دابا كادحاك علييا,FALSE,Yassine,,,,,
6191,"Well, I think you've had a really bad day, and you're mostly in a bad mood","wakha, kanDn bila dawzti nhar khayb, onta ghaliban f mazaj khayb","واخا, كانضن بيلا داوزتي نهار خايب, أُنتا غاليبان ف مازاج خايب",حسنًا، أعتقد أنك مررت بيوم سيء للغاية، وأنت غالبًا في مزاج سيء,TRUE,EJJOUFARI Wadie,,,,,,,,,
6192,While the lift was stopped he said we should use the time doing my appraisal!,"mnin w9af lmas3ad, galiya bila khasna nstaghllo lwa9t f ta9yim dyali","منين وقاف لماسعاد, ڭالييا بيلا خاسنا نستاغلّو لواقت ف تاقييم ديالي",بينما توقف المصعد قال إننا يجب أن نستغل الوقت في إجراء تقييمي!,TRUE,EJJOUFARI Wadie,,"منين وقاف لمصعاد, ڭالييا بيلا خاسنا نستاغلّو لواقت ف تاقييم ديالي",FALSE,Yassine,,,,,
6193,I'm always in a bad mood,ana dima fmizaj khayb,أنا ديما فميزاج خايب,أنا دائمًا في مزاج سيء,TRUE,EJJOUFARI Wadie,,,,,,,,,
6194,I'm always in a bad mood,ana dima Tal3a lia l9rda,أنا ديما طالعا ليا لقردا,أنا دائمًا في مزاج سيء,TRUE,EJJOUFARI Wadie,,,,,,,,,
6195,"Sorry, I haven't asked how your day was?",sma7 liya masawltkch kidaz nhark?,سماح لييا ماساولتكش كيداز نهارك?,آسف، لم أسأل كيف كان يومك؟,TRUE,EJJOUFARI Wadie,,,,,,,,,
6196,you're not always in a bad mood,nta machi dima fmizaj khayb,نتا ماشي ديما فميزاج خايب,أنت لست دائمًا في مزاج سيء,TRUE,EJJOUFARI Wadie,,,,,,,,,
6197,"but tonight, you definitely are!","walakin had llila, bta2kid","والاكين هاد الليلا, بتاءكيد",ولكن الليلة، أنت بالتأكيد كذلك!,TRUE,EJJOUFARI Wadie,,,,,,,,,
6198,At the same time,fnafs lwa9t,فنافس لواقت,في نفس الوقت,TRUE,EJJOUFARI Wadie,,,,,,,,,
6199,"after the day you've passed, that makes sense","mora lyoum lidawzti, hadchi Tabi3i","مورا ليوم ليداوزتي, هادشي طابيعي",بعد اليوم الذي مررت به، هذا منطقي,TRUE,EJJOUFARI Wadie,,"مورا ليوم ليدوزتي, هادشي طبيعي",FALSE,Yassine,,,,,
6200,I had a good day,daz 3andi lyoum mazyan,داز عاندي ليوم مازيان,لقد كان يومي جيدًا,TRUE,EJJOUFARI Wadie,,داز عاندي ليوم مزيان,FALSE,Yassine,,,,,
6201,I had a good day,lyoum daz mazyan,ليوم داز مازيان,لقد كان يومي جيدًا,TRUE,EJJOUFARI Wadie,,,,,,,,,
6202,That's probably why I see things more serene,ghaliban hadchi 3lach kanchof l7wayj b8odo2,غاليبان هادشي علاش كانشوف لحوايج بهودوء,هذا على الأرجح سبب رؤيتي للأمور بمزيد من السكينة,TRUE,EJJOUFARI Wadie,,غاليبان هادشي علاش كانشوف لحوايج بهدوء,FALSE,Yassine,,,,,
6203,"I would go for a lie down to calm down a bit, but I see the cat is on the stairs",knt ghadi ntaka bach nthadan chwiya walakin knchof lmcha f droj,كنت غادي نتاكا باش نتهادان شوييا والاكين كنشوف لمشا ف دروج,كنت سأذهب لأستلقي قليلاً لأهدأ، لكنني أرى القطة على الدرج,TRUE,EJJOUFARI Wadie,,,,,,,,,
6204,Have you left any wine or have you finished the bottle?,wach khliti chwiya dyal nabid wla kmmlti l9ar3a?,واش خليتي شوييا ديال نابيد ولا كمّلتي لقارعا?,هل تركت بعض النبيذ أم أنك أنهيت الزجاجة؟,TRUE,EJJOUFARI Wadie,,,,,,,,,
6205,leave that poor cat alone,khali dik lmacha maskina,خالي ديك لماشا ماسكينا,اترك ذلك القط الفقير وحده,TRUE,EJJOUFARI Wadie,,خلي ديك لمشا مسكينا,FALSE,Yassine,,,,,
6206,leave that poor cat alone,fout 3lik dik lmcha mskina,فوت عليك ديك لمشا مسكينا,اترك ذلك القط الفقير وحده,TRUE,EJJOUFARI Wadie,,,,,,,,,
6207,take a glass of wine,khod kas dyal nabid,خود كاس ديال نابيد,خذ كأساً من النبيذ,TRUE,EJJOUFARI Wadie,,,,,,,,,
6208,Thanks I will have a big glass and try to forget about the day,"chokran, ghadi nakhod kas kbir o n7awal nsa lyoum","شوكران, غادي ناخود كاس كبير أُ نحاوال نسا ليوم",شكرًا سأتناول كأسًا كبيرًا وأحاول أن أنسى اليوم,TRUE,EJJOUFARI Wadie,,,,,,,,,
6209,What would I do without a sympathetic ear when I get home,chno ghadi ndir bla wdan mat3atfa mnin nrja3 ldar,شنو غادي ندير بلا ودان ماتعاتفا منين نرجاع لدار,ماذا كنت سأفعل بدون أذن متعاطفة عندما أعود إلى المنزل,TRUE,EJJOUFARI Wadie,,شنو غادي ندير بلا وذن متعتفة منين نرجع لدار,FALSE,Yassine,,,,,
6210,"Hi, this is my first time flying and I have to admit that I'm a bit nervous","ahlan, hadi lmrra lawla likansafar fiha bTayara o khasni n3tarf bila matwatar chwiya","أهلان, هادي لمرّا لاولا ليكانسافار فيها بطايارا أُ خاسني نعتارف بيلا ماتواتار شوييا",مرحباً، هذه أول مرة لي أطير ويجب أن أعترف بأنني قليلاً متوتر,TRUE,EJJOUFARI Wadie,,"أهلان, هادي لمرّا لولا ليكنسافر فيها بطيارا أُ خاسني نعتارف بلي متوتر شويا",FALSE,Yassine,,,,,
6211,Have you flown before?,wach safarti fsma mn 9bal,واش سافارتي فسما من قبال,هل سبق لك أن طرت؟,TRUE,EJJOUFARI Wadie,,واش سافرتي فسما من قبل,FALSE,Yassine,,,,,
6212,Yes,ah,أه,نعم,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6213,I take it very often!,kanakhod8a bzaf tlmrrat,كاناخودها بزاف تلمرّات,أتناوله كثيرًا!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6214,Almost every week for my work,ta9riban kol simana lkhadma dyali,تاقريبان كول سيمانا لخادما ديالي,تقريبًا كل أسبوع من أجل عملي,TRUE,EL BOUCHATTAOUI LAMIAA,,تقريبا كول سيمانا لخادما ديالي,FALSE,Yassine,,,,,
6215,"You'll see, the journey will go well, I'm sure!","ghadi tchof, ghadi doz ri7la 3la khir, ana mat2akad","غادي تشوف, غادي دوز ريحلا علا خير, أنا ماتأكاد",سترى، الرحلة ستكون جيدة، أنا متأكد!,TRUE,EL BOUCHATTAOUI LAMIAA,,"غادي تشوف, غادي دوز الرحلة ناضية, أنا متأكاد",FALSE,Yassine,,,,,
6216,I'm quite scared in fact,ana khayf chwia sara7a,أنا خايف شويا ساراحا,أنا خائف جدًا في الواقع,TRUE,EL BOUCHATTAOUI LAMIAA,,أنا خايف شويا صراحة,FALSE,Yassine,,,,,
6217,What is that strange noise and shaking?,ach had sda3 o irti3ach lgharib?,أش هاد سداع أُ إرتيعاش لغاريب?,ما هذا الضجيج والاهتزاز الغريب؟,FALSE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6218,It's perfectly normal,rah Tabi3i tamaman,راه طابيعي تامامان,إنه أمر طبيعي تمامًا,TRUE,EL BOUCHATTAOUI LAMIAA,,راه طبيعي تماما,FALSE,Yassine,,,,,
6219,"I was very scared, too, when I started getting on the plane ten years ago",knt khayf bzaf ta ana mnin bdit kanrkab Tayara 9bal 3chr snin,كنت خايف بزاف تا أنا منين بديت كانركاب طايارا قبال عشر سنين,كنت خائفًا جدًا أيضًا عندما بدأت بركوب الطائرة قبل عشر سنوات,TRUE,EL BOUCHATTAOUI LAMIAA,,كنت خايف بزاف تا أنا منين بديت كانركب طيارا قبل عشر سنين,FALSE,Yassine,,,,,
6220,And I even trained to learn how to not be afraid of flying!,7ta tdarabt 3la kifach mankhafch mn Tayaran,حتا تدارابت علا كيفاش مانخافش من طاياران,وحتى تدربت لأتعلم كيف لا أخاف من الطيران!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6221,that's reassuring,hadchi kayTam2an,هادشي كايطامأن,ذلك مطمئن,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6222,Maybe I should order a drink,imkan khasni nTlab machrob,إمكان خاسني نطلاب ماشروب,ربما يجب أن أطلب مشروبًا,TRUE,EL BOUCHATTAOUI LAMIAA,,إمكان خاسني نطلب مشروب,FALSE,Yassine,,,,,
6223,Would you like one?,bghiti wa7da?,بغيتي واحدا?,هل ترغب في واحد؟,TRUE,EL BOUCHATTAOUI LAMIAA,,بغيتي واحد?,FALSE,Yassine,,,,,
6224,It's a good idea to relax!,fikra mzyana annak tarkha,فيكرا مزيانا أنّاك تارخا,إنها فكرة جيدة للاسترخاء!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6225,But I'll have a coffee instead,walakin ghadi nakhod 9ahwa blastha,والاكين غادي ناخود قاهوا بلاستها,ولكن سأتناول قهوة بدلاً من ذلك,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6226,I got up a little early to get on the plane,a9t bkri chwiya bach nrkab Tayara,أقت بكري شوييا باش نركاب طايارا,استيقظت باكرًا قليلاً لألحق بالطائرة,TRUE,EL BOUCHATTAOUI LAMIAA,,فقت بكري شوييا باش نركاب طيارا,FALSE,Yassine,,,,,
6227,I need that coffee to wake me up a bit!,khssni dik l9ahwa bach nfi9 chwiya,خسّني ديك لقاهوا باش نفيق شوييا,أحتاج إلى ذلك القهوة لتوقظني قليلاً!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6228,I'll grab the stewardess when she passes,ghadi ngolha lmoDifa mnin douz,غادي نڭولها لموضيفا منين دوز,سأنادي المضيفة عندما تمر,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6229,Would you like anything to eat with your coffee?,bghiti takol chi 7aja m3a l9ahwa dyalk,بغيتي تاكول شي حاجا معا لقاهوا ديالك,هل ترغب بتناول شيء مع قهوتك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6230,I could eat a croissant with coffee,n9dar nakol crwasa m3a l9ahwa,نقدار ناكول كرواسا معا لقاهوا,يمكنني أن آكل كرواسون مع قهوة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6231,"Good idea, I'll get one too","fikra mzyana, ghadi nakhod 7ta ana wa7da","فيكرا مزيانا, غادي ناخود حتا أنا واحدا",فكرة جيدة، سأحصل على واحدة أيضاً,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6232,I usually only eat croissant on special occasions,ana asasan kanakol karwasa flmonasabt lkhasa safi,أنا أساسان كاناكول كارواسا فلموناسابت لخاسا سافي,عادة ما آكل الكرواسون في المناسبات الخاصة فقط,TRUE,EL BOUCHATTAOUI LAMIAA,,أنا أساسان كاناكول كارواسا فلموناسابات لخاصا صافي,FALSE,Yassine,,,,,
6233,I'm a chocolatier,ana kansayab choklat,أنا كانساياب شوكلات,أنا صانع الشوكولاتة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6234,Flying for the first time is a bit of a special occasion,Tayaran l2awal mra rah monasaba khaSSa,طاياران لأوال مرا راه موناسابا خاصّا,الطيران للمرة الأولى هو مناسبة خاصة بعض الشيء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6235,Oh wow!,"oh, waw","أُه, واو",يا للعجب!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6236,What a dream job,ay 3la khdma dyal l2a7lam,أي علا خدما ديال لأحلام,يا لها من وظيفة أحلام,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6237,"But since I'm a bit greedy, I tend to eat croissants often!","walakin 7it ana Tmma3 chwiya, rah kanmil nakol karawasa bzaf","والاكين حيت أنا طمّاع شوييا, راه كانميل ناكول كاراواسا بزاف",ولكن بما أنني شخص مُحِب للطعام، أميل إلى تناول الكرواسون كثيرًا!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6238,"Yes, it's a fantastic job!","ah, rah waDifa zwina","أه, راه واضيفا زوينا",نعم، إنها وظيفة رائعة!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6239,Which chocolate company do you work for?,achmn chrika dyal choklat fach khdam,أشمن شريكا ديال شوكلات فاش خدام,لأي شركة شوكولاتة تعمل؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6240,"I'm an auto contractor, and I'm working on my account.","ana mo9awil dati, o kankhdam lrasi","أنا موقاويل داتي, أُ كانخدام لراسي",أنا مقاول سيارات، وأعمل على حسابي.,TRUE,EL BOUCHATTAOUI LAMIAA,,"أنا موقاويل طوموبيلات, أُ كانخدام لراسي",FALSE,Yassine,,,,,
6241,"I'm not sure what that means, but you are definitely someone to stay in touch with!!","mamt2akd ach kay3ni dakchi, walakin nta bta2kid chi 7ad t9dar tb9a 3la itisal m3ah","مامتأكد أش كايعني داكشي, والاكين نتا بتاءكيد شي حاد تقدار تبقا علا إتيسال معاه",لست متأكدًا مما يعنيه ذلك، ولكنك بالتأكيد شخص يجدر بي البقاء على تواصل معه!!,TRUE,EL BOUCHATTAOUI LAMIAA,,"ماشي متأكد أش كايعني داكشي, والاكين نتا بتاءكيد شي حاد تقدار تبقا علا إتيسال معاه",FALSE,Yassine,,,,,
6242,I adore chocolate,kan3cha9 choklat,كانعشاق شوكلات,أنا أعشق الشوكولاتة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6243,"Ah, the order of eight has arrived","ah, rah wsalt ltartib tmanya","أه, راه وسالت لتارتيب تمانيا",آه، وصلت الطلبية الثمانية,FALSE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6244,"You remember the recipe, don't you?","kat39al 3la lwaSfa, yak?","كاتعقال علا لواصفا, ياك?",أتذكر الوصفة، أليس كذلك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6245,Oh dear!,3azizi,عازيزي,يا عزيزي!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6246,I'm not sure I remember it,mamt2akdach bila 3a9la 3liha,مامتأكداش بيلا عاقلا عليها,لست متأكدًا من أنني أتذكره,TRUE,EL BOUCHATTAOUI LAMIAA,,ماشي متأكد بيلا عاقل عليها,FALSE,Yassine,,,,,
6247,You will need to refresh my memory,ghadi ta7taj tfakarni,غادي تاحتاج تفاكارني,ستحتاج إلى تجديد ذاكرتي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6248,It's very simple,rah sa8la bzaf,راه ساهلا بزاف,إنها بسيطة جدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6249,Take a melon,khod mnouna,خود منونا,خذ بطيخة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6250,cut it in two,9TTa3ha 3la jouj,قطّاعها علا جوج,اقطعه إلى نصفين,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6251,remove the seeds,7iyyed zrri3a,حييّد زرّيعا,أزل البذور,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6252,get a spoon,jib m3il9a,جيب معيلقا,احصل على ملعقة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6253,Put the flesh in the blender,dir lob f lkhlaT,دير لوب ف لخلاط,ضع اللحم في الخلاط,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6254,Then what do you put in the blender?,o mn b3d achno kadir flkhallaT?,أُ من بعد أشنو كادير فلخالّاط?,ثم ماذا تضع في الخلاط؟,TRUE,EL BOUCHATTAOUI LAMIAA,,أُ من بعد أشنو كادير فلخلّاط?,FALSE,Yassine,,,,,
6255,I put in some lemon juice and a little water,kandir chwya dyal 3aSir limon o chwiya dyal lma,كاندير شويا ديال عاصير ليمون أُ شوييا ديال لما,وضعت بعض عصير الليمون وقليلاً من الماء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6256,Is that right?,wach hadchi li kayn,واش هادشي لي كاين,هل هذا صحيح؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6257,More mint leaves,lmazid mn lwra9 dyal na3na3,لمازيد من لوراق ديال ناعناع,المزيد من أوراق النعناع,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6258,I forgot about the mint leaves.,nsit lwra9 dyal na3na3,نسيت لوراق ديال ناعناع,نسيتُ أوراق النعناع.,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6259,I need to be careful not to add too many though,khasni nrad lbal bach manzidch bzaf,خاسني نراد لبال باش مانزيدش بزاف,يجب أن أكون حذرًا لكي لا أضيف الكثير على الرغم من ذلك,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6260,All you have to do is train,lhaja lwa7ida li khasak hia tadrib,لحاجة لواحيدا لي خاساك هيا تادريب,كل ما عليك فعله هو التدريب,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6261,What do you say?,ach katgol?,أش كاتڭول?,ماذا تقول؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6262,That looks perfect,hadchi kayban mitali,هادشي كايبان ميتالي,ذلك يبدو مثاليًا,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6263,Should I garnish it with anything else?,wach khas tzayanha bchi 7aja khra?,واش خاس تزايانها بشي حاجا خرا?,هل يجب أن أزينه بشيء آخر؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6264,"No, no, it's no use","la, la, makaynch lach","لا, لا, ماكاينش لاش",لا، لا، لا فائدة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6265,"It's good like this, light, fresh!","rah zwin b7al hakka, khfif, o Tayab","راه زوين بحال هاكّا, خفيف, أُ طاياب",إنه جيد هكذا، خفيف، منعش!,TRUE,EL BOUCHATTAOUI LAMIAA,,"راه زوين بحال هاكّا, خفيف, أُ منعش",FALSE,Yassine,,,,,
6266,Send it to the gym,siftha l la salle,سيفتها ل لا سالّ,أرسله إلى النادي الرياضي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6267,Next order,Talab ttani,طالاب التاني,الطلب التالي,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6268,That's easy!,hada sa8l,هادا ساهل,ذلك سهل!,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6269,Do you want me to let you do it?,wach bghiti nkhalik dirha?,واش بغيتي نخاليك ديرها?,هل تريد مني أن أدعك تفعل ذلك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6270,I can do that easily,na9dar n7ayad hadchi bzarba,ناقدار نحاياد هادشي بزاربا,يمكنني فعل ذلك بسهولة,TRUE,EL BOUCHATTAOUI LAMIAA,,ناقدار ندير هادشي بزاربا,FALSE,Yassine,,,,,
6271,I didn't quite understand that question,mafhamch had so2al mzyan,مافهامش هاد سوأل مزيان,لم أفهم ذلك السؤال جيدًا,TRUE,EL BOUCHATTAOUI LAMIAA,,مافهامتش هاد سوأل مزيان,FALSE,Yassine,,,,,
6272,What do you mean by toppings?,ach kat9sad b toppings,أش كاتقساد ب توپّينڭس,ماذا تقصد بالإضافات؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6273,"Presentation is important, isn't it?","l3ard mohim, kayna?","لعارد موهيم, كاينا?",العرض مهم، أليس كذلك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,"لعرض موهيم, كاينا?",FALSE,Yassine,,,,,
6274,"Yeah, that's a great idea","ah, fikra zwina","أه, فيكرا زوينا",نعم، هذه فكرة رائعة,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6275,Do it and send it to the gym,dirha o siftha l la salle,ديرها أُ سيفتها ل لا سالّ,اقم به وأرسله إلى الصالة الرياضية,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6276,I'm afraid that's the end of my shift now,khayf tkon hadi hiya nihaya dyal nobti daba,خايف تكون هادي هييا نيهايا ديال نوبتي دابا,أخشى أن هذا هو نهاية ورديتي الآن,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6277,Good night,masa2 lkhir,ماساء لخير,تصبح على خير,TRUE,EL BOUCHATTAOUI LAMIAA,,تصبح على خير,FALSE,Yassine,,,,,
6278,I've learned a lot from you this evening,ta3almt mnk bzaf had l3chiya,تاعالمت منك بزاف هاد لعشييا,لقد تعلمت الكثير منك هذا المساء,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6279,"Welcome back, and see you tomorrow!","marhaba brjo3 dyalk, nchofk ghda","مارهابا برجوع ديالك, نشوفك غدا",أهلاً بعودتك، وإلى اللقاء غدًا!,TRUE,EL BOUCHATTAOUI LAMIAA,,"مارحابا برجوع ديالك, نشوفك غدا",FALSE,Yassine,,,,,
6280,"Hi, I'm having coffee with an orange juice, please.",ahlan bghit l9ahwa m3a 3asir limon 3afak,أهلان بغيت لقاهوا معا عاسير ليمون عافاك,مرحباً، أتناول قهوة مع عصير برتقال من فضلك.,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
6281,would you like milk with your coffee and ice in your orange juice?,wach bghiti l7lib m3a l9ahwa o talj m3a limon?,واش بغيتي لحليب معا لقاهوا أُ تالج معا ليمون?,هل ترغب بالحليب مع قهوتك والثلج في عصير البرتقال الخاص بك؟,TRUE,EL BOUCHATTAOUI LAMIAA,,,,,,,,,
